"","repID","Geneid","is_re","class","superf","fam","meanExpr","logFC_cGASKOvsWT","pval_cGASKOvsWT","padj_cGASKOvsWT","sig_cGASKOvsWT"
"26","BGLII_A:ERVK:LTR","BGLII_A:ERVK:LTR",TRUE,"LTR","LTR/ERVK","BGLII_A",3.26366320911743,-0.067040527400377,0.544603030861098,0.913190417443638,"Not Sig."
"27","BGLII_B:ERVK:LTR","BGLII_B:ERVK:LTR",TRUE,"LTR","LTR/ERVK","BGLII_B",13.8909790134109,-0.0951619469778315,0.139424200778351,0.705533249205372,"Not Sig."
"28","BGLII_B2:ERVK:LTR","BGLII_B2:ERVK:LTR",TRUE,"LTR","LTR/ERVK","BGLII_B2",3.85607952713734,0.0532481040666664,0.513181502487048,0.901890544866392,"Not Sig."
"29","BGLII_C:ERVK:LTR","BGLII_C:ERVK:LTR",TRUE,"LTR","LTR/ERVK","BGLII_C",1.58385607368495,0.142906883639031,0.282494434397857,0.825449032914936,"Not Sig."
"30","BGLII_Mur:ERVK:LTR","BGLII_Mur:ERVK:LTR",TRUE,"LTR","LTR/ERVK","BGLII_Mur",5.12239675746462,-0.101585863321677,0.240182445979106,0.816921485540218,"Not Sig."
"31","BGLII_Mus:ERVK:LTR","BGLII_Mus:ERVK:LTR",TRUE,"LTR","LTR/ERVK","BGLII_Mus",2.86254537041313,0.0491683554312438,0.703984182691927,0.93605739978032,"Not Sig."
"32","BGLII:ERVK:LTR","BGLII:ERVK:LTR",TRUE,"LTR","LTR/ERVK","BGLII",9.78848462056355,-0.0614020334481663,0.469335530230139,0.89145734961972,"Not Sig."
"33","BLACKJACK:hAT-Blackjack:DNA","BLACKJACK:hAT-Blackjack:DNA",TRUE,"DNA","DNA/hAT-Blackjack","BLACKJACK",5.4150245923148,0.00773797061635263,0.922711847117519,0.985312865046948,"Not Sig."
"34","Chap1_Mam:hAT-Charlie:DNA","Chap1_Mam:hAT-Charlie:DNA",TRUE,"DNA","DNA/hAT-Charlie","Chap1_Mam",0.432571415056105,0.323989003566814,0.162629643180385,0.717261149692025,"Not Sig."
"35","Chap1a_Mam:hAT-Charlie:DNA","Chap1a_Mam:hAT-Charlie:DNA",TRUE,"DNA","DNA/hAT-Charlie","Chap1a_Mam",1.78203505468096,-0.0233788960136296,0.850198214733812,0.975125891448221,"Not Sig."
